"Date","Description","Category","Payee","Account","Transfer Account","Amount"
"17. October 2019, 18:36","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"17. October 2019, 18:17","","Groceries","Netto","Daily Expenses","","-3,18"
"17. October 2019, 07:00","Netflix","Subscriptions","Netflix","Daily Expenses","","-15,99"
"16. October 2019, 12:42","","Groceries","Edeka","Daily Expenses","","-20,03"
"16. October 2019, 09:32","Cozy Fireplace HD","Office","","Daily Expenses","","-1,00"
"15. October 2019, 18:25","","Groceries","","Daily Expenses","","-1,88"
"15. October 2019, 07:00","Eddi's","Subscriptions","Eddi’s Fitness","Daily Expenses","","-34,80"
"14. October 2019, 15:56","","Groceries","Rewe","Daily Expenses","","-2,20"
"14. October 2019, 15:34","","Groceries","Rewe","Daily Expenses","","-2,74"
"14. October 2019, 11:42","","Groceries","DM","Daily Expenses","","-9,75"
"13. October 2019, 15:23","","Restaurants & Cafes","","Daily Expenses","","-6,00"
"13. October 2019, 12:57","","Restaurants & Cafes","","Daily Expenses","","-7,20"
"12. October 2019, 14:20","","Groceries","Netto","Daily Expenses","","-6,82"
"12. October 2019, 13:53","","Restaurants & Cafes","Fleischhall","Daily Expenses","","-3,00"
"12. October 2019, 13:36","","Restaurants & Cafes","Henry's Coffee","Daily Expenses","","-3,00"
"12. October 2019, 12:34","","Restaurants & Cafes","","Daily Expenses","","-3,00"
"12. October 2019, 07:00","Wikipedia","Donations/Charity","Wikimedia Foerdergesellschaft","Daily Expenses","","-5,00"
"12. October 2019, 07:00","Repitoir","Subscriptions","GoDaddy","Daily Expenses","","-19,13"
"11. October 2019, 16:58","DB to Wolfsburg","Transportation","","Daily Expenses","","-118,30"
"11. October 2019, 15:03","","Groceries","Perfetto","Daily Expenses","","-6,77"
"11. October 2019, 10:02","","Groceries","Aldi","Daily Expenses","","-13,93"
"11. October 2019, 09:42","","Groceries","DM","Daily Expenses","","-27,30"
"10. October 2019, 23:21","","Misc.","","Daily Expenses","","-7,00"
"10. October 2019, 23:00","","Restaurants & Cafes","Riegele WirtsHaus","Daily Expenses","","-17,00"
"10. October 2019, 18:24","","Groceries","Netto","Daily Expenses","","-2,97"
"10. October 2019, 16:18","","Groceries","Total","Daily Expenses","","-1,79"
"10. October 2019, 12:29","","Groceries","SportScheck","Daily Expenses","","-10,28"
"10. October 2019, 07:00","LingQ","Subscriptions","LingQ","Daily Expenses","","-11,76"
"9. October 2019, 16:37","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"9. October 2019, 12:35","","Bakery","Wolf","Daily Expenses","","-2,15"
"9. October 2019, 08:57","","Groceries","Ottillinger","Daily Expenses","","-2,45"
"9. October 2019, 07:00","iCloud Storage 200GB","Subscriptions","Apple","Daily Expenses","","-2,65"
"8. October 2019, 16:42","","Groceries","Rewe","Daily Expenses","","-1,69"
"7. October 2019, 13:05","iPad Mini Digitizer","Office","","Daily Expenses","","-24,99"
"7. October 2019, 11:58","","Groceries","Aldi","Daily Expenses","","-5,17"
"7. October 2019, 11:37","","Groceries","Netto","Daily Expenses","","-1,29"
"6. October 2019, 17:16","","Restaurants & Cafes","McDonald's","Daily Expenses","","-1,00"
"6. October 2019, 16:29","","Restaurants & Cafes","","Daily Expenses","","-6,00"
"5. October 2019, 14:44","Sat Lunch/Coffee","Restaurants & Cafes","","Daily Expenses","","-7,20"
"4. October 2019, 19:39","","Groceries","Netto","Daily Expenses","","-8,92"
"4. October 2019, 18:54","","Restaurants & Cafes","Kö Samui","Daily Expenses","","-7,20"
"2. October 2019, 19:47","","Groceries","Aldi","Daily Expenses","","-17,80"
"2. October 2019, 16:16","","Groceries","Netto","Daily Expenses","","-1,78"
"1. October 2019, 20:31","DHL: Anny's iPhone","Office","","Daily Expenses","","-8,99"
"1. October 2019, 15:05","","Groceries","Netto","Daily Expenses","","-1,78"
"1. October 2019, 14:24","","Restaurants & Cafes","Genüß Welt","Daily Expenses","","-2,20"
"1. October 2019, 12:29","","Groceries","Netto","Daily Expenses","","-8,72"
"1. October 2019, 07:00","Kreissparkasse Konto Fee","Bank Fees","Kreissparkasse","Daily Expenses","","-2,95"
"1. October 2019, 07:00","Rent","Fixed","Miljenko Salopek","Daily Expenses","","-450,00"
"30. September 2019, 19:18","","Groceries","Perfetto","Daily Expenses","","-1,79"
"30. September 2019, 18:24","","Groceries","Netto","Daily Expenses","","-5,07"
"30. September 2019, 16:22","Top-up","Telekom","","Daily Expenses","","-30,00"
"30. September 2019, 15:22","","Groceries","Rewe","Daily Expenses","","-1,88"
"30. September 2019, 12:33","Inlingua","Salary","","Daily Expenses","","1.402,99"
"29. September 2019, 18:23","","Restaurants & Cafes","Starbucks","Daily Expenses","","-5,00"
"29. September 2019, 17:59","","Groceries","","Daily Expenses","","-2,48"
"29. September 2019, 17:41","","Restaurants & Cafes","Freibank","Daily Expenses","","-3,60"
"29. September 2019, 07:00","MagentaMobile Prepaid XL","Telekom","Telekom","Daily Expenses","","-24,95"
"28. September 2019, 22:37","","Misc.","","Daily Expenses","","-7,00"
"28. September 2019, 22:09","","Restaurants & Cafes","Thing","Daily Expenses","","-13,00"
"28. September 2019, 17:48","Bäckergasse Fest","Restaurants & Cafes","","Daily Expenses","","-4,00"
"28. September 2019, 15:46","","Groceries","Perfetto","Daily Expenses","","-1,09"
"28. September 2019, 15:36","","Groceries","DM","Daily Expenses","","-0,95"
"28. September 2019, 15:13","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,00"
"28. September 2019, 13:13","St Michaela","Restaurants & Cafes","","Daily Expenses","","-15,00"
"28. September 2019, 12:09","","Restaurants & Cafes","Schwingenstein","Daily Expenses","","-6,90"
"28. September 2019, 09:42","Guitar strings","Entertainment","","Daily Expenses","","-6,99"
"27. September 2019, 09:58","Glucose Strips","Health","DM","Daily Expenses","","-25,25"
"26. September 2019, 21:54","","Restaurants & Cafes","McDonald's","Daily Expenses","","-5,00"
"26. September 2019, 18:36","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"26. September 2019, 18:30","","Groceries","Edeka","Daily Expenses","","-3,99"
"26. September 2019, 18:23","","Groceries","Netto","Daily Expenses","","-1,74"
"26. September 2019, 16:05","","Groceries","","Daily Expenses","","-3,77"
"26. September 2019, 12:53","","Groceries","New Yorker","Daily Expenses","","-15,06"
"26. September 2019, 07:47","Mints","Groceries","","Daily Expenses","","-19,30"
"25. September 2019, 12:30","","Groceries","Edeka","Daily Expenses","","-2,78"
"24. September 2019, 19:52","","Groceries","Rewe","Daily Expenses","","-10,54"
"24. September 2019, 12:40","","Groceries","Netto","Daily Expenses","","-11,09"
"24. September 2019, 07:00","Telekom - landline and wifi","Telekom","Telekom","Daily Expenses","","-45,33"
"23. September 2019, 15:57","","Clothes & Shoes","Karstadt","Daily Expenses","","-19,99"
"23. September 2019, 15:27","","Groceries","Rewe","Daily Expenses","","-5,77"
"21. September 2019, 16:21","Dinner - Immenstadt","Restaurants & Cafes","","Daily Expenses","","-20,00"
"21. September 2019, 14:32","Chairlift","Transportation","","Daily Expenses","","-10,00"
"21. September 2019, 13:53","Coffee","Restaurants & Cafes","","Daily Expenses","","-3,00"
"21. September 2019, 13:11","Buttermilch","Restaurants & Cafes","","Daily Expenses","","-2,50"
"21. September 2019, 10:24","Gas station Snacks","Restaurants & Cafes","","Daily Expenses","","-6,20"
"21. September 2019, 09:05","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"20. September 2019, 18:44","","Groceries","Aldi","Daily Expenses","","-7,43"
"20. September 2019, 16:56","","Groceries","Netto","Daily Expenses","","-19,82"
"20. September 2019, 15:18","","Restaurants & Cafes","Pow Wow","Daily Expenses","","-5,40"
"20. September 2019, 07:09","Lotto","Entertainment","Lotto","Daily Expenses","","-2,60"
"20. September 2019, 07:00","Apple Music","Subscriptions","Apple","Daily Expenses","","-8,00"
"20. September 2019, 07:00","iPad Mobile","Telekom","Telekom","Daily Expenses","","-14,95"
"19. September 2019, 16:32","T-Shirts","Clothes & Shoes","Karstadt","Daily Expenses","","-15,10"
"19. September 2019, 15:56","Salt","Groceries","Basic","Daily Expenses","","-3,49"
"19. September 2019, 06:54","","Bank Fees","Azimo","Daily Expenses","","-2,99"
"17. September 2019, 07:00","Netflix","Subscriptions","Netflix","Daily Expenses","","-15,99"
"16. September 2019, 16:18","","Groceries","DM","Daily Expenses","","-2,60"
"16. September 2019, 16:09","Ibuprofen","Health","Heyzel Coffee","Daily Expenses","","-4,27"
"16. September 2019, 11:50","","Groceries","DM","Daily Expenses","","-13,15"
"16. September 2019, 11:37","Socks","Clothes & Shoes","Edeka","Daily Expenses","","-23,97"
"15. September 2019, 22:12","","Restaurants & Cafes","Freibank","Daily Expenses","","-17,00"
"15. September 2019, 17:18","","Restaurants & Cafes","Kuhsee","Daily Expenses","","-5,40"
"15. September 2019, 07:00","Eddi's","Subscriptions","Eddi’s Fitness","Daily Expenses","","-34,80"
"14. September 2019, 19:40","","Groceries","Aldi","Daily Expenses","","-1,38"
"14. September 2019, 17:21","","Groceries","Feneberg","Daily Expenses","","-2,99"
"13. September 2019, 22:13","","Restaurants & Cafes","McDonald's Restaurant","Daily Expenses","","-5,00"
"13. September 2019, 21:14","","Restaurants & Cafes","Riegele Biergarten","Daily Expenses","","-14,40"
"13. September 2019, 18:46","","Groceries","Norma","Daily Expenses","","-0,99"
"13. September 2019, 17:53","","Restaurants & Cafes","Cafe am Milchberg","Daily Expenses","","-2,50"
"13. September 2019, 15:02","","Restaurants & Cafes","Viktualien","Daily Expenses","","-2,50"
"13. September 2019, 11:52","","Groceries","Norma","Daily Expenses","","-5,48"
"13. September 2019, 11:36","","Restaurants & Cafes","Cafe Sammacal","Daily Expenses","","-6,00"
"12. September 2019, 22:51","","Misc.","","Daily Expenses","","-7,00"
"12. September 2019, 19:48","","Beer/Drinks","Beim Weissen Lamm","Daily Expenses","","-15,00"
"12. September 2019, 12:54","","Groceries","Feneberg","Daily Expenses","","-5,52"
"12. September 2019, 12:38","","Groceries","Rewe","Daily Expenses","","-8,05"
"12. September 2019, 07:00","Wikipedia","Donations/Charity","Wikimedia Foerdergesellschaft","Daily Expenses","","-5,00"
"11. September 2019, 16:21","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"11. September 2019, 12:45","","Groceries","Aldi","Daily Expenses","","-2,49"
"10. September 2019, 19:25","","Groceries","Aldi","Daily Expenses","","-0,99"
"10. September 2019, 12:55","","Groceries","Feneberg","Daily Expenses","","-1,99"
"10. September 2019, 11:35","","Bakery","Schneider","Daily Expenses","","-1,70"
"9. September 2019, 17:32","","Restaurants & Cafes","Viktualien","Daily Expenses","","-5,00"
"9. September 2019, 15:39","","Groceries","Norma","Daily Expenses","","-1,69"
"9. September 2019, 11:57","","Groceries","Aldi","Daily Expenses","","-15,42"
"9. September 2019, 11:46","","Groceries","DM","Daily Expenses","","-12,55"
"9. September 2019, 11:04","LingQ","Education","LingQ","Daily Expenses","","-11,87"
"9. September 2019, 07:00","iCloud Storage 200GB","Subscriptions","Apple","Daily Expenses","","-2,65"
"8. September 2019, 15:47","iPhone SE battery","Office","","Daily Expenses","","-24,85"
"8. September 2019, 13:59","","Restaurants & Cafes","McDonald's Restaurant","Daily Expenses","","-6,00"
"8. September 2019, 11:01","","Bakery","Bäckerei Wolf","Daily Expenses","","-3,00"
"7. September 2019, 13:41","","Groceries","Perfetto","Daily Expenses","","-2,64"
"7. September 2019, 13:01","","Restaurants & Cafes","Thalia Café","Daily Expenses","","-4,50"
"7. September 2019, 12:24","","Restaurants & Cafes","Fleischhall","Daily Expenses","","-6,00"
"6. September 2019, 23:13","","Restaurants & Cafes","McDonald's","Daily Expenses","","-5,00"
"5. September 2019, 19:24","","Groceries","Norma","Daily Expenses","","-1,69"
"5. September 2019, 18:29","","Restaurants & Cafes","McDonald's","Daily Expenses","","-2,00"
"5. September 2019, 18:09","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"5. September 2019, 17:56","","Groceries","Penny","Daily Expenses","","-3,43"
"5. September 2019, 16:25","","Groceries","Total","Daily Expenses","","-2,18"
"5. September 2019, 10:48","","Groceries","Aldi","Daily Expenses","","-8,64"
"4. September 2019, 19:49","","Groceries","DM","Daily Expenses","","-10,70"
"4. September 2019, 15:54","","Restaurants & Cafes","Kuhsee","Daily Expenses","","-5,60"
"3. September 2019, 11:28","Keto Plot App","Office","","Daily Expenses","","-2,73"
"3. September 2019, 09:32","","Groceries","DM","Daily Expenses","","-5,85"
"2. September 2019, 19:02","Sauna","Subscriptions","Eddi’s Fitness","Daily Expenses","","-4,90"
"2. September 2019, 15:49","","Groceries","Aldi","Daily Expenses","","-15,68"
"2. September 2019, 12:15","iPhone battery adhesive strips","Office","","Daily Expenses","","-4,11"
"2. September 2019, 09:34","","Bakery","Laxgang","Daily Expenses","","-2,60"
"2. September 2019, 09:24","","Groceries","Aldi","Daily Expenses","","-14,45"
"1. September 2019, 21:01","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,00"
"1. September 2019, 15:33","Plärrer","Beer/Drinks","","Daily Expenses","","-15,00"
"1. September 2019, 10:40","","Bakery","Laxgang","Daily Expenses","","-2,80"
"1. September 2019, 07:00","Radio Open Source","Donations/Charity","Radio Open Source","Daily Expenses","","-10,00"
"1. September 2019, 07:00","Kreissparkasse Konto Fee","Bank Fees","Kreissparkasse","Daily Expenses","","-2,95"
"1. September 2019, 07:00","Rent","Fixed","Miljenko Salopek","Daily Expenses","","-450,00"
"31. August 2019, 20:52","Keto Diet Tracker","Office","","Daily Expenses","","-10,70"
"31. August 2019, 20:50","FrenchPod101","Subscriptions","","Daily Expenses","","-22,31"
"31. August 2019, 20:47","Entgelt","Bank Fees","","Daily Expenses","","-4,50"
"31. August 2019, 17:24","","Groceries","Feneberg","Daily Expenses","","-9,03"
"31. August 2019, 17:02","Rim","Bicycle","Radlbauer Augsburg","Daily Expenses","","-40,50"
